Feature_Name,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Feature_Type,Quad,Approval_Status,Origin
Abalos Colles,235.83,76.83,-71.65,78.78,74.81,-66.61,-75.46,"Collis, colles",mc01,Approved,"Named for classical albedo feature at 72N, 70W."
Abalos Mensa,129.18,81.17,-75.6,82.4,80.21,-69.48,-80.66,"Mensa, mensae",mc01,Approved,Classical albedo feature name.
Abalos Scopuli,109.16,80.72,-76.56,81.96,80.2,-69.48,-80.53,"Scopulus, scopuli",mc01,Approved,Classical albedo feature name.
Abalos Undae,442.74,78.52,-87.5,82.2,74.94,-76.97,-98.6,"Unda, undae",mc01,Approved,"Classical albedo feature at 72N, 70W."
Aban,4.28,15.91,111.1,15.94,15.87,111.14,111.06,"Crater, craters",mc14,Approved,Town in Russia.
Abus Vallis,60.99,-5.49,-147.2,-5.02,-5.99,-147.16,-147.28,"Vallis, valles",mc16,Approved,Classical name for Humber River in England.
Achar,5.36,45.43,123.16,45.48,45.39,123.23,123.1,"Crater, craters",mc07,Approved,Town in Uruguay.
Acheron Catena,421.77,37.47,-100.8,40.7,33.51,-98.29,-103.29,"Catena, catenae",mc03,Approved,"Named for classical albedo feature at 35N, 140W."
Acheron Fossae,703.11,38.27,-135.02,40.03,31.47,-129.08,-143.1,"Fossa, fossae",mc02,Approved,"From classical albedo feature at 35N, 140W."
Acidalia Colles,356.3,50.34,-23.09,52.96,48.42,-19.63,-28.23,"Collis, colles",mc04,Approved,From classical albedo feature name.
Acidalia Mensa,226.86,46.69,-25.34,48.69,45.03,-22.97,-28.19,"Mensa, mensae",mc04,Approved,From classical albedo feature name.
Acidalia Planitia,3505,49.76,-20.74,68.68,14.75,16.18,-54.88,"Planitia, planitiae",mc04,Approved,"From classical albedo feature at 44N, 21W."
Ada,2.09,-3.06,-3.22,-3.04,-3.08,-3.21,-3.24,"Crater, craters",mc19,Approved,"Town in Oklahoma, USA."
Adamas Labyrinthus,853,35.7,105.12,41.07,30.34,111.46,96.27,"Labyrinthus, labyrinthi",mc06,Approved,"Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India."
Adams,90.22,30.91,163.1,31.68,30.15,163.99,162.22,"Crater, craters",mc07,Approved,Walter S.; American astronomer (1876-1956).
Aeolis,0,-4.94,145,-4.94,-4.94,145,145,Albedo Feature,mc23,Approved,Floating island where winds were kept in a cave.
Aeolis Chaos,201,-7.13,150.6,-6.42,-7.83,152.24,148.96,"Chaos, chaoses",mc23,Approved,Classical albedo feature name.
Aeolis Dorsa,459.17,-5.05,152.63,-1.03,-8.13,156.42,148.6,"Dorsum, dorsa",mc23,Approved,Classical albedo feature name.
Aeolis Mensae,785.09,-3.25,140.63,2.07,-6.56,146.95,135.33,"Mensa, mensae",mc23,Approved,Classical albedo feature name.
Aeolis Mons,88.99,-5.08,137.85,-4.46,-5.61,138.62,137.11,"Mons, montes",mc23,Approved,Classical albedo feature name.
Aeolis Palus,111.63,-4.47,137.42,-4.18,-5.39,138.65,136.75,"Palus, paludes",mc23,Approved,Classical albedo feature name.
Aeolis Planum,852.81,-1.14,144.76,4.4,-6.68,149.98,139.08,"Planum, plana",mc23,Approved,Classical albedo feature name.
Aeolis Serpens,538.55,-1.38,149.57,2.48,-4.9,152,147.68,"Serpens, serpentes",mc23,Approved,Classical albedo feature name.
Aeria,0,9.88,50,9.88,9.88,50,50,Albedo Feature,mc13,Approved,"Greek name for Egypt; ""far land of mist""."
Aesacus Dorsum,276.69,36.82,153.15,38.69,34.7,154.72,152.28,"Dorsum, dorsa",mc07,Approved,"From albedo feature at 45N, 205W."
Aetheria,0,39.67,130,39.67,39.67,130,130,Albedo Feature,mc07,Approved,Upper world; land of living.
Aethiopis,0,9.88,130,9.88,9.88,130,130,Albedo Feature,mc14,Approved,Countries of the Ethiopians on southern edge of the Earth.
Aganippe Fossa,537.16,-8.49,-126,-4.06,-12.85,-124.77,-126.86,"Fossa, fossae",mc17,Approved,Classical albedo feature name.
Agassiz,108.77,-69.88,-88.89,-68.97,-70.8,-86.2,-91.54,"Crater, craters",mc30,Approved,Jean L.; American naturalist (1807-1873).
Airy,43.05,-5.14,0.05,-4.77,-5.5,0.42,-0.31,"Crater, craters",mc20,Approved,George B.; British astronomer (1801-1892).
Airy-0,0.79,-5.07,0,-5.07,-5.08,0.01,-0.01,"Crater, craters",mc20,Approved,Small crater within crater Airy that defines zero degrees longitude on Mars.
Ajon,8.08,16.49,103.14,16.56,16.42,103.21,103.07,"Crater, craters",mc14,Approved,Town in Russia.
Aki,7.87,-35.46,-60.24,-35.4,-35.53,-60.16,-60.32,"Crater, craters",mc25,Approved,Town in Japan.
Aktaj,5.01,20.41,-46.49,20.45,20.37,-46.44,-46.53,"Crater, craters",mc10,Approved,Town in Russia.
Alamos,6.44,23.48,-37.12,23.54,23.43,-37.07,-37.18,"Crater, craters",mc11,Approved,Town in Mexico.
Alba Catena,144.86,35.04,-114.58,36.26,33.83,-114.56,-114.65,"Catena, catenae",mc03,Approved,Classical albedo name.
Alba Fossae,2072.02,49.39,-106.82,66.91,33.89,-95.92,-116.23,"Fossa, fossae",mc03,Approved,Classical albedo name.
Alba Mons,548.02,41.08,-110.71,45.63,36.53,-104.79,-116.29,"Mons, montes",mc03,Approved,Classical albedo feature name.
Albany,2.15,22.96,-49.02,22.98,22.94,-49,-49.04,"Crater, craters",mc10,Approved,American colonial town (New York).
Alba Patera,65.98,39.53,-109.18,39.94,39.14,-108.45,-109.88,"Patera, paterae",mc03,Approved,Classical albedo name.
Albi,9.07,-41.47,-35.01,-41.4,-41.55,-34.9,-35.11,"Crater, craters",mc26,Approved,Town in France.
Albor Fossae,155,18.09,150.78,18.6,17.74,151.95,149.43,"Fossa, fossae",mc15,Approved,"From albedo feature at 20N, 205W."
Albor Tholus,158.38,18.87,150.47,19.99,17.63,151.88,149.06,"Tholus, tholi",mc15,Approved,Classical albedo feature name.
Alexey Tolstoy,93.04,-47.44,125.34,-46.65,-48.22,126.5,124.18,"Crater, craters",mc29,Approved,Aleksey; Soviet writer (1882-1945).
Alga,18.72,-24.34,-26.68,-24.18,-24.5,-26.5,-26.85,"Crater, craters",mc19,Approved,Town in Kazakhstan.
Alitus,50,-34.91,-38.14,-34.51,-35.31,-37.84,-38.44,"Crater, craters",mc26,Approved,"(Alytus), town in Lithuania."
Allegheny Vallis,171.08,-9.01,-53.9,-8.41,-9.73,-52.79,-54.94,"Vallis, valles",mc18,Approved,"River in Pennsylvania, USA."
Alnif,23.99,-15.14,-31.09,-14.93,-15.33,-30.89,-31.32,"Crater, craters",mc19,Approved,Town in Morocco.
Alofi,43,9.84,-0.02,10.17,9.49,0.37,-0.37,"Crater, craters",mc11,Approved,Town in Niue.
Alpheus Colles,633.03,-39.38,61.53,-34.4,-44.51,66.5,56.68,"Collis, colles",mc28,Approved,"From albedo feature at 45S, 292W."
Al-Qahira Vallis,600,-18.23,162.41,-14.41,-21.79,165.36,159.61,"Vallis, valles",mc23,Approved,"Word for 'Mars' in Arabic, Indonesian, Malay."
Amazonis,0,0,-140,0,0,-140,-140,Albedo Feature,,Approved,Land of the Amazons; on the island Hesperia.
Amazonis Mensa,414.04,-1.98,-146.9,0.96,-4.09,-143.67,-149.74,"Mensa, mensae",mc16,Approved,Classical albedo feature name.
Amazonis Planitia,2809.04,25.75,-162.91,49.75,2.14,-140.58,-179.66,"Planitia, planitiae",mc08,Approved,Classical albedo feature name; home of the Amazons.
Amazonis Sulci,250.59,-2.15,-143.71,-0.23,-4.15,-143.38,-147.25,"Sulcus, sulci",mc16,Approved,Albedo feature name; home of the Amazons.
Amenthes,0,4.94,110,4.94,4.94,110,110,Albedo Feature,mc14,Approved,Egyptian name for place where souls of the dead go.
Amenthes Cavi,1330.5,16.23,114.52,18.9,12.29,125.84,102.98,"Cavus, cavi",mc14,Approved,Classical albedo feature name.
Amenthes Fossae,850,9.07,102.68,13.73,2.17,107.28,96.97,"Fossa, fossae",mc14,Approved,Classical albedo feature name.
Amenthes Planum,953,3.4,105.92,9.2,-2.17,111.93,99.09,"Planum, plana",mc14,Approved,Classical albedo feature name.
Amenthes Rupes,335.25,1.51,110.68,3.58,0.09,112.98,108.83,"Rupes, rupēs",mc14,Approved,Classical albedo feature name.
